model_name,score,Language
Llama-3,0.5609756097560976,English
Llama-3,0.18902439024390244,Ukrainian
Qwen2,0.08536585365853659,English
Qwen2,0.35365853658536583,Ukrainian
aya-101,0.14634146341463414,English
aya-101,0.04878048780487805,Ukrainian
aya-expanse-8b,0.036585365853658534,English
aya-expanse-8b,0.06097560975609756,Ukrainian
gemma-2-9b-it,0.17073170731707318,English
gemma-2-9b-it,0.06097560975609756,Ukrainian
gemma-3-4b-it,0.14634146341463414,English
gemma-3-4b-it,0.24390243902439024,Ukrainian
gpt-4o,0.4634146341463415,English
gpt-4o,0.45121951219512196,Ukrainian
